,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.nearest_syn_neighbor_distance.mean,0.29941085661598565,0.29941085661598565,0.29941085661598565,0.0,0.29941085661598565,0.0,1,0,0.0,minimize
sanity.close_values_probability.score,0.4824561403508772,0.4824561403508772,0.4824561403508772,0.0,0.4824561403508772,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.08366700112948468,0.08366700112948468,0.08366700112948468,0.0,0.08366700112948468,0.0,1,0,0.0,minimize
stats.inv_kl_divergence.marginal,0.07380604661013321,0.07380604661013321,0.07380604661013321,0.0,0.07380604661013321,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.32880588568194685,0.32880588568194685,0.32880588568194685,0.0,0.32880588568194685,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.9691358024691358,0.9691358024691358,0.9691358024691358,0.0,0.9691358024691358,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.04657687991021323,0.04657687991021323,0.04657687991021323,0.0,0.04657687991021323,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,1,0,0.0,maximize
performance.mlp.gt,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.9932659932659934,0.9932659932659934,0.9932659932659934,0.0,0.9932659932659934,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
detection.detection_xgb.mean,0.9995383194829178,0.9995383194829178,0.9995383194829178,0.0,0.9995383194829178,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,minimize
detection.detection_linear.mean,0.9997691597414589,0.9997691597414589,0.9997691597414589,0.0,0.9997691597414589,0.0,1,0,0.0,minimize
privacy.delta-presence.score,2.428571425102041,2.428571425102041,2.428571425102041,0.0,2.428571425102041,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
